# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1782185518611000000,1782185578620000000,21
cacheStateStorage.get.duration,1782185518611000000,1782185578620000000,73
cacheStateStorage.set.counter,1782185518611000000,1782185578620000000,3
cacheStateStorage.get.counter,1782185518611000000,1782185578620000000,27
compiler.ArtifactManagerBridge.findArtifact.ms,1782185518611000000,1782185578620000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1782185518611000000,1782185578620000000,1
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1782185518611000000,1782185578620000000,0
compiler.ArtifactManagerBridge.commit.ms,1782185518611000000,1782185578620000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1782185518611000000,1782185578620000000,2
compiler.ArtifactManagerBridge.addArtifact.ms,1782185518611000000,1782185578620000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1782185518611000000,1782185578620000000,0
jps.load.project.to.empty.storage.ms,1782185518611000000,1782185578620000000,38
jps.artifact.entities.serializer.save.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.global.apply.state.to.project.ms,1782185518611000000,1782185578620000000,55
workspaceModel.delayed.project.synchronizer.sync.ms,1782185518611000000,1782185578620000000,0
jps.library.entities.serializer.save.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1782185518611000000,1782185578620000000,7
jps.facet.change.listener.process.change.events.ms,1782185518611000000,1782185578620000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1782185518611000000,1782185578620000000,0
jps.global.initialize.library.bridges.ms,1782185518611000000,1782185578620000000,0
jps.global.handle.changed.events.ms,1782185518611000000,1782185578620000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1782185518611000000,1782185578620000000,0
workspaceModel.global.updates.count,1782185518611000000,1782185578620000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1782185518611000000,1782185578620000000,0
workspaceModel.moduleBridge.update.option.ms,1782185518611000000,1782185578620000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1782185518611000000,1782185578620000000,0
jps.apply.loaded.storage.ms,1782185518611000000,1782185578620000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1782185518611000000,1782185578620000000,0
workspaceModel.do.save.caches.ms,1782185518611000000,1782185578620000000,81
workspaceModel.mutableEntityStorage.remove.entity.ms,1782185518611000000,1782185578620000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1782185518611000000,1782185578620000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1782185518611000000,1782185578620000000,3
jps.artifact.entities.serializer.load.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1782185518611000000,1782185578620000000,0
jps.project.serializers.save.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1782185518611000000,1782185578620000000,0
jps.facet.change.listener.init.bridge.ms,1782185518611000000,1782185578620000000,1
jps.global.initialize.library.bridges.after.loading.ms,1782185518611000000,1782185578620000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1782185518611000000,1782185578620000000,1
workspaceModel.load.cache.metadata.from.file.ms,1782185518611000000,1782185578620000000,4
workspaceModel.mutableEntityStorage.referrers.ms,1782185518611000000,1782185578620000000,0
jps.module.iml.entities.serializer.load.entities.ms,1782185518611000000,1782185578620000000,7
jps.facet.change.listener.before.change.events.ms,1782185518611000000,1782185578620000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1782185518611000000,1782185578620000000,1
jps.app.storage.content.reader.load.component.ms,1782185518611000000,1782185578620000000,4
jps.global.get.library.by.name.ms,1782185518611000000,1782185578620000000,0
jps.global.get.libraries.ms,1782185518611000000,1782185578620000000,0
jps.global.handle.before.change.events.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1782185518611000000,1782185578620000000,13
workspaceModel.orphan.listener.update.ms,1782185518611000000,1782185578620000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1782185518611000000,1782185578620000000,8
workspaceModel.mutableEntityStorage.hasReferrers.ms,1782185518611000000,1782185578620000000,0
jps.global.get.library.ms,1782185518611000000,1782185578620000000,0
jps.reload.project.entities.ms,1782185518611000000,1782185578620000000,0
jps.save.changed.project.entities.ms,1782185518611000000,1782185578620000000,0
jps.save.global.entities.ms,1782185518611000000,1782185578620000000,0
jps.module.iml.entities.serializer.save.entities.ms,1782185518611000000,1782185578620000000,0
jps.load.initial.state.ms,1782185518611000000,1782185578620000000,9
workspaceModel.moduleBridgeLoader.loading.modules.ms,1782185518611000000,1782185578620000000,116
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1782185518611000000,1782185578620000000,1
workspaceModel.mutableEntityStorage.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.sync.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.save.cache.to.file.ms,1782185518611000000,1782185578620000000,47
workspaceModel.mutableEntityStorage.instances.count,1782185518611000000,1782185578620000000,30
jps.project.serializers.load.ms,1782185518611000000,1782185578620000000,12
workspaceModel.moduleManagerBridge.load.module.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1782185518611000000,1782185578620000000,1
workspaceModel.load.cache.from.file.ms,1782185518611000000,1782185578620000000,57
workspaceModel.moduleBridge.before.changed.ms,1782185518611000000,1782185578620000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1782185518611000000,1782185578620000000,6
jps.library.entities.serializer.load.entities.ms,1782185518611000000,1782185578620000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1782185518611000000,1782185578620000000,13
workspaceModel.mutableEntityStorage.to.snapshot.ms,1782185518611000000,1782185578620000000,1
workspaceModel.global.updates.ms,1782185518611000000,1782185578620000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1782185518611000000,1782185578620000000,1
jps.storage.jps.conf.reader.load.component.ms,1782185518611000000,1782185578620000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1782185518611000000,1782185578620000000,0
FlushQueue.tasksExecuted,1782185518611000000,1782185578620000000,2556
FlushQueue.queueSizeMax,1782185518611000000,1782185578620000000,295
FlushQueue.executionTimeMaxNs,1782185518611000000,1782185578620000000,413138943
FlushQueue.queueSize90P,1782185518611000000,1782185578620000000,182
AWTEventQueue.dispatchTimeMaxNs,1782185518611000000,1782185578620000000,413138943
NonBlockingReadAction.failedExecutionsCount,1782185518611000000,1782185578620000000,5
AWTEventQueue.dispatchTimeAvgNs,1782185518611000000,1782185578620000000,929586.3068215669
AWTEventQueue.dispatchTime90PNs,1782185518611000000,1782185578620000000,753663
FlushQueue.executionTime90PNs,1782185518611000000,1782185578620000000,329727
FlushQueue.waitingTime90PNs,1782185518611000000,1782185578620000000,92798975
FlushQueue.waitingTimeAvgNs,1782185518611000000,1782185578620000000,3.4782115319248825E7
NonBlockingReadAction.failedExecutionTimeUs,1782185518611000000,1782185578620000000,75492
FlushQueue.executionTimeAvgNs,1782185518611000000,1782185578620000000,647483.716744914
FlushQueue.queueSizeAvg,1782185518611000000,1782185578620000000,52.93857589984351
NonBlockingReadAction.finalizedExecutionsCount,1782185518611000000,1782185578620000000,53
FlushQueue.waitingTimeMaxNs,1782185518611000000,1782185578620000000,446693375
AWTEventQueue.dispatchTimeTotalNS,1782185518611000000,1782185578620000000,3119792721
WriteAction.executionsCount,1782185518611000000,1782185578620000000,5
NonBlockingReadAction.finalizedExecutionTimeUs,1782185518611000000,1782185578620000000,253378
ReadAction.executionsCount,1782185518611000000,1782185578620000000,3470
AWTEventQueue.eventsDispatched,1782185518611000000,1782185578620000000,3357
workspaceModel.initializing.ms,1782185518611000000,1782185578620000000,3
workspaceModel.on.before.changed.ms,1782185518611000000,1782185578620000000,23
workspaceModel.to.snapshot.ms,1782185518611000000,1782185578620000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1782185518611000000,1782185578620000000,174
workspaceModel.replace.project.model.ms,1782185518611000000,1782185578620000000,0
workspaceModel.on.changed.ms,1782185518611000000,1782185578620000000,8
workspaceModel.cachedValue.calculated.count,1782185518611000000,1782185578620000000,8
workspaceModel.workspaceFileIndexData.instances.count,1782185518611000000,1782185578620000000,1
workspaceModel.workspaceFileIndexData.getPackageName.ms,1782185518611000000,1782185578620000000,4
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1782185518611000000,1782185578620000000,0
workspaceModel.updates.count,1782185518611000000,1782185578620000000,3
workspaceModel.check.recursive.update.ms,1782185518611000000,1782185578620000000,1
workspaceModel.collect.changes.ms,1782185518611000000,1782185578620000000,0
workspaceModel.cachedValue.from.cache.count,1782185518611000000,1782185578620000000,63
workspaceModel.full.replace.project.model.ms,1782185518611000000,1782185578620000000,0
workspaceModel.update.unloaded.entities.ms,1782185518611000000,1782185578620000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1782185518611000000,1782185578620000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1782185518611000000,1782185578620000000,0
workspaceModel.workspaceFileIndexData.init.ms,1782185518611000000,1782185578620000000,40
