# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1782255693754000000,1782255753865000000,14
cacheStateStorage.set.duration,1782255693754000000,1782255753865000000,6
cacheStateStorage.get.counter,1782255693754000000,1782255753865000000,27
cacheStateStorage.get.duration,1782255693754000000,1782255753865000000,39
JVM.totalBytesAllocated,1782255693754000000,1782255753865000000,2584489144
MEM.ramPlusSwapMinusFileMappingsBytes,1782255693754000000,1782255753865000000,1874531632
JVM.maxHeapBytes,1782255693754000000,1782255753865000000,2147483648
OS.loadAverage,1782255693754000000,1782255753865000000,4.28564453125
JVM.totalTimeToSafepointsMs,1782255693754000000,1782255753865000000,20
JVM.usedNativeBytes,1782255693754000000,1782255753865000000,423875528
JVM.GC.collectionTimesMs,1782255693754000000,1782255753865000000,210
JVM.totalCpuTimeMs,1782255693754000000,1782255753865000000,37864
JVM.committedHeapBytes,1782255693754000000,1782255753865000000,538968064
JVM.maxThreadCount,1782255693754000000,1782255753865000000,89
JVM.threadCount,1782255693754000000,1782255753865000000,86
JVM.GC.collections,1782255693754000000,1782255753865000000,53
JVM.totalSafepointCount,1782255693754000000,1782255753865000000,114
MEM.fileMappingsRamBytes,1782255693754000000,1782255753865000000,544276480
JVM.totalDirectByteBuffersBytes,1782255693754000000,1782255753865000000,362897416
JVM.usedHeapBytes,1782255693754000000,1782255753865000000,435263056
MEM.ramMinusFileMappingsBytes,1782255693754000000,1782255753865000000,1141653504
JVM.totalTimeAtSafepointsMs,1782255693754000000,1782255753865000000,213
JVM.newThreadsCount,1782255693754000000,1782255753865000000,113
MEM.ramBytes,1782255693754000000,1782255753865000000,1686028288
lexer.XML.time.ns,1782255693754000000,1782255753865000000,2252958
LowMemory.gcLoad,1782255693754000000,1782255753865000000,0.0
parser.DTD.size.bytes,1782255693754000000,1782255753865000000,289
lexer.DTD.size.bytes,1782255693754000000,1782255753865000000,289
LowMemory.gcOverloaded,1782255693754000000,1782255753865000000,0
writeAction.count,1782255693754000000,1782255753865000000,9
DiskQueryRelay.taskExecutionTotalTimeUs,1782255693754000000,1782255753865000000,74022
DiskQueryRelay.tasksExecuted,1782255693754000000,1782255753865000000,188
parser.DTD.time.ns,1782255693754000000,1782255753865000000,7835917
parser.XML.size.bytes,1782255693754000000,1782255753865000000,2823
DiskQueryRelay.tasksRequested,1782255693754000000,1782255753865000000,188
writeAction.median.wait.ms,1782255693754000000,1782255753865000000,0
writeAction.wait.ms,1782255693754000000,1782255753865000000,19
lexer.DTD.time.ns,1782255693754000000,1782255753865000000,428583
parser.XML.time.ns,1782255693754000000,1782255753865000000,13
writeAction.max.wait.ms,1782255693754000000,1782255753865000000,17
lexer.XML.size.bytes,1782255693754000000,1782255753865000000,3050
DiskQueryRelay.taskWaitingTotalTimeUs,1782255693754000000,1782255753865000000,119248
NonBlockingReadAction.finalizedExecutionTimeUs,1782255693754000000,1782255753865000000,189735
AWTEventQueue.dispatchTime90PNs,1782255693754000000,1782255753865000000,0
AWTEventQueue.dispatchTimeAvgNs,1782255693754000000,1782255753865000000,0.0
WriteAction.executionsCount,1782255693754000000,1782255753865000000,9
FlushQueue.queueSizeMax,1782255693754000000,1782255753865000000,0
FlushQueue.executionTimeMaxNs,1782255693754000000,1782255753865000000,0
NonBlockingReadAction.failedExecutionTimeUs,1782255693754000000,1782255753865000000,135133
AWTEventQueue.dispatchTimeTotalNS,1782255693754000000,1782255753865000000,5864474085
FlushQueue.executionTimeAvgNs,1782255693754000000,1782255753865000000,0.0
FlushQueue.queueSize90P,1782255693754000000,1782255753865000000,0
FlushQueue.queueSizeAvg,1782255693754000000,1782255753865000000,0.0
FlushQueue.waitingTime90PNs,1782255693754000000,1782255753865000000,0
FlushQueue.waitingTimeAvgNs,1782255693754000000,1782255753865000000,0.0
NonBlockingReadAction.failedExecutionsCount,1782255693754000000,1782255753865000000,49
FlushQueue.waitingTimeMaxNs,1782255693754000000,1782255753865000000,0
FlushQueue.executionTime90PNs,1782255693754000000,1782255753865000000,0
FlushQueue.tasksExecuted,1782255693754000000,1782255753865000000,0
ReadAction.executionsCount,1782255693754000000,1782255753865000000,8202
