# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
LowMemory.gcLoad,1782185700197000000,1782185760285000000,0.0
parser.DTD.size.bytes,1782185700197000000,1782185760285000000,1156
LowMemory.gcOverloaded,1782185700197000000,1782185760285000000,0
writeAction.median.wait.ms,1782185700197000000,1782185760285000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1782185700197000000,1782185760285000000,46005
lexer.DTD.size.bytes,1782185700197000000,1782185760285000000,1156
writeAction.wait.ms,1782185700197000000,1782185760285000000,2
lexer.XML.time.ns,1782185700197000000,1782185760285000000,43438709
parser.XML.time.ns,1782185700197000000,1782185760285000000,16
writeAction.max.wait.ms,1782185700197000000,1782185760285000000,2
DiskQueryRelay.taskWaitingTotalTimeUs,1782185700197000000,1782185760285000000,82609
parser.XML.size.bytes,1782185700197000000,1782185760285000000,2616
writeAction.count,1782185700197000000,1782185760285000000,6
parser.DTD.time.ns,1782185700197000000,1782185760285000000,3971250
lexer.DTD.time.ns,1782185700197000000,1782185760285000000,6033708
DiskQueryRelay.tasksRequested,1782185700197000000,1782185760285000000,121
DiskQueryRelay.tasksExecuted,1782185700197000000,1782185760285000000,121
lexer.XML.size.bytes,1782185700197000000,1782185760285000000,2616
workspaceModel.cachedValueWithParameters.from.cache.count,1782185700197000000,1782185760285000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1782185700197000000,1782185760285000000,0
workspaceModel.on.before.changed.ms,1782185700197000000,1782185760285000000,16
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1782185700197000000,1782185760285000000,0
workspaceModel.updates.ms,1782185700197000000,1782185760285000000,42
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1782185700197000000,1782185760285000000,77
