# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1782184124114000000,1782184184125000000,6
cacheStateStorage.set.counter,1782184124114000000,1782184184125000000,1
cacheStateStorage.get.counter,1782184124114000000,1782184184125000000,1
cacheStateStorage.get.duration,1782184124114000000,1782184184125000000,19
workspaceModel.global.updates.ms,1782184124114000000,1782184184125000000,0
jps.save.global.entities.ms,1782184124114000000,1782184184125000000,6
workspaceModel.sync.entities.ms,1782184124114000000,1782184184125000000,0
jps.load.initial.state.ms,1782184124114000000,1782184184125000000,0
workspaceModel.global.updates.count,1782184124114000000,1782184184125000000,0
workspaceModel.global.apply.state.to.project.ms,1782184124114000000,1782184184125000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1782184124114000000,1782184184125000000,0
DirectByteBufferAllocator.reclaimed,1782184124114000000,1782184184125000000,3
MappedFileStorage.storages,1782184124114000000,1782184184125000000,6
FileChannelInterruptsRetryer.totalRetriedAttempts,1782184124114000000,1782184184125000000,0
MappedFileStorage.totalBytesMapped,1782184124114000000,1782184184125000000,164626432
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782184124114000000,1782184184125000000,0
FilePageCache.pageFastCacheHits,1782184124114000000,1782184184125000000,6277
FilePageCache.totalPageDisposalsUs,1782184124114000000,1782184184125000000,877
StreamlinedBlobStorage.recordsAllocated,1782184124114000000,1782184184125000000,45968
StreamlinedBlobStorage.recordsDeleted,1782184124114000000,1782184184125000000,268
DirectByteBufferAllocator.disposed,1782184124114000000,1782184184125000000,0
StorageLockContext.competingThreads.90P,1782184124114000000,1782184184125000000,0
FilePageCache.disposedBuffers,1782184124114000000,1782184184125000000,3
FilePageCache.pageHits,1782184124114000000,1782184184125000000,0
FilePageCache.maxRegisteredFiles,1782184124114000000,1782184184125000000,877
FilePageCache.pageLoadsAboveSizeThreshold,1782184124114000000,1782184184125000000,0
FilePageCache.uncachedFileAccess,1782184124114000000,1782184184125000000,187
MappedFileStorage.totalTimeSpentOnMappingUs,1782184124114000000,1782184184125000000,16258
StreamlinedBlobStorage.recordsRelocated,1782184124114000000,1782184184125000000,0
FilePageCache.maxCacheSizeInBytes,1782184124114000000,1782184184125000000,327172096
StorageLockContext.competingThreads.avg,1782184124114000000,1782184184125000000,0.0
FilePageCache.totalPageLoadsUs,1782184124114000000,1782184184125000000,134033
DirectByteBufferAllocator.misses,1782184124114000000,1782184184125000000,314
StorageLockContext.competingThreads.max,1782184124114000000,1782184184125000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1782184124114000000,1782184184125000000,3433201
FilePageCache.pageLoads,1782184124114000000,1782184184125000000,317
FilePageCache.capacityInBytes,1782184124114000000,1782184184125000000,629145600
MappedFileStorage.totalPagesMapped,1782184124114000000,1782184184125000000,6
DirectByteBufferAllocator.hits,1782184124114000000,1782184184125000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782184124114000000,1782184184125000000,327172096
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1782184124114000000,1782184184125000000,848134
FlushQueue.queueSizeMax,1782184124114000000,1782184184125000000,20
FlushQueue.tasksExecuted,1782184124114000000,1782184184125000000,223
AWTEventQueue.dispatchTimeAvgNs,1782184124114000000,1782184184125000000,802172.7606433302
ReadAction.executionsCount,1782184124114000000,1782184184125000000,153
AWTEventQueue.dispatchTime90PNs,1782184124114000000,1782184184125000000,174079
AWTEventQueue.dispatchTimeTotalNS,1782184124114000000,1782184184125000000,848340378
FlushQueue.queueSize90P,1782184124114000000,1782184184125000000,18
FlushQueue.executionTime90PNs,1782184124114000000,1782184184125000000,528383
FlushQueue.executionTimeAvgNs,1782184124114000000,1782184184125000000,2450951.7488789237
FlushQueue.waitingTimeAvgNs,1782184124114000000,1782184184125000000,2.412304803587444E7
FlushQueue.queueSizeAvg,1782184124114000000,1782184184125000000,5.802690582959642
WriteAction.executionsCount,1782184124114000000,1782184184125000000,1
FlushQueue.executionTimeMaxNs,1782184124114000000,1782184184125000000,438304767
FlushQueue.waitingTimeMaxNs,1782184124114000000,1782184184125000000,457179135
FlushQueue.waitingTime90PNs,1782184124114000000,1782184184125000000,94371839
AWTEventQueue.dispatchTimeMaxNs,1782184124114000000,1782184184125000000,438304767
AWTEventQueue.eventsDispatched,1782184124114000000,1782184184125000000,1057
VFS.contentStorage.recordsStored,1782184124114000000,1782184184125000000,0
VFS.contentStorage.recordsReadSize,1782184124114000000,1782184184125000000,0
VFS.folderCaseSensitivityReads,1782184124114000000,1782184184125000000,0
VFS.contentStorage.recordsDeduplicated,1782184124114000000,1782184184125000000,0
VFS.contentStorage.recordsRead,1782184124114000000,1782184184125000000,0
VFS.cache.segments,1782184124114000000,1782184184125000000,1.0
VFS.contentStorage.recordsDecompressionTimeUs,1782184124114000000,1782184184125000000,0
VFS.cache.segmentsCreated,1782184124114000000,1782184184125000000,1
VFS.contentStorage.recordsStoredCompressed,1782184124114000000,1782184184125000000,0
VFS.cache.filesCreated,1782184124114000000,1782184184125000000,9
VFS.invertedFileNameIndex.requests,1782184124114000000,1782184184125000000,0
VFS.fileChildByName,1782184124114000000,1782184184125000000,26
FileNameCache.totalMisses,1782184124114000000,1782184184125000000,0
VFS.contentStorage.recordsStoredSize,1782184124114000000,1782184184125000000,0
VFS.contentStorage.recordsUncompressedSize,1782184124114000000,1782184184125000000,0
VFS.contentStorage.recordsReadDecompressed,1782184124114000000,1782184184125000000,0
VFS.fileByIdCache.misses,1782184124114000000,1782184184125000000,0
VFS.fileByIdCache.hits,1782184124114000000,1782184184125000000,0
VFS.rootsCount,1782184124114000000,1782184184125000000,1.0
VFS.cache.directoriesCreated,1782184124114000000,1782184184125000000,11
FileNameCache.queries,1782184124114000000,1782184184125000000,0
DiskQueryRelay.tasksRequested,1782184124114000000,1782184184125000000,22
writeAction.max.wait.ms,1782184124114000000,1782184184125000000,2
writeAction.count,1782184124114000000,1782184184125000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1782184124114000000,1782184184125000000,38787
DiskQueryRelay.taskExecutionTotalTimeUs,1782184124114000000,1782184184125000000,7379
DiskQueryRelay.tasksExecuted,1782184124114000000,1782184184125000000,22
writeAction.median.wait.ms,1782184124114000000,1782184184125000000,0
writeAction.wait.ms,1782184124114000000,1782184184125000000,2
Indexing.cache.totalCacheEvicted,1782184124114000000,1782184184125000000,0
Indexing.cache.totalCacheAccesses,1782184124114000000,1782184184125000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1782184124114000000,1782184184125000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1782184124114000000,1782184184125000000,0
Indexing.totalTimeIndexersSleptMs,1782184124114000000,1782184184125000000,0
Indexing.writesQueuedAvg,1782184124114000000,1782184184125000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1782184124114000000,1782184184125000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1782184124114000000,1782184184125000000,0
Indexing.cache.totalCacheMisses,1782184124114000000,1782184184125000000,0
Indexing.writesQueuedMin,1782184124114000000,1782184184125000000,0
Indexing.writesQueuedMax,1782184124114000000,1782184184125000000,0
cacheStateStorage.set.duration,1782184184125000000,1782184244125000000,1
cacheStateStorage.set.counter,1782184184125000000,1782184244125000000,1
cacheStateStorage.get.counter,1782184184125000000,1782184244125000000,4
cacheStateStorage.get.duration,1782184184125000000,1782184244125000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1782184184125000000,1782184244125000000,0
