# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalPagesMapped,1782184451348000000,1782184511358000000,16
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1782184451348000000,1782184511358000000,848372
DirectByteBufferAllocator.disposed,1782184451348000000,1782184511358000000,0
FilePageCache.totalPageDisposalsUs,1782184451348000000,1782184511358000000,1702
StorageLockContext.competingThreads.max,1782184451348000000,1782184511358000000,0
StreamlinedBlobStorage.recordsRelocated,1782184451348000000,1782184511358000000,0
FilePageCache.totalPageLoadsUs,1782184451348000000,1782184511358000000,210105
FilePageCache.maxCacheSizeInBytes,1782184451348000000,1782184511358000000,629153792
StorageLockContext.competingThreads.90P,1782184451348000000,1782184511358000000,0
FilePageCache.uncachedFileAccess,1782184451348000000,1782184511358000000,482
MappedFileStorage.storages,1782184451348000000,1782184511358000000,16
DirectByteBufferAllocator.misses,1782184451348000000,1782184511358000000,603
DirectByteBufferAllocator.reclaimed,1782184451348000000,1782184511358000000,33
DirectByteBufferAllocator.hits,1782184451348000000,1782184511358000000,30
FilePageCache.capacityInBytes,1782184451348000000,1782184511358000000,629145600
FilePageCache.pageHits,1782184451348000000,1782184511358000000,0
FilePageCache.maxRegisteredFiles,1782184451348000000,1782184511358000000,1646
StorageLockContext.competingThreads.avg,1782184451348000000,1782184511358000000,0.0
MappedFileStorage.totalBytesMapped,1782184451348000000,1782184511358000000,202637312
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782184451348000000,1782184511358000000,630210560
StreamlinedBlobStorage.recordsDeleted,1782184451348000000,1782184511358000000,268
FilePageCache.pageFastCacheHits,1782184451348000000,1782184511358000000,12046
FilePageCache.pageLoadsAboveSizeThreshold,1782184451348000000,1782184511358000000,29
FilePageCache.disposedBuffers,1782184451348000000,1782184511358000000,33
MappedFileStorage.totalTimeSpentOnMappingUs,1782184451348000000,1782184511358000000,4909
StreamlinedBlobStorage.recordsAllocated,1782184451348000000,1782184511358000000,45989
FilePageCache.pageLoads,1782184451348000000,1782184511358000000,604
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1782184451348000000,1782184511358000000,3434671
FileChannelInterruptsRetryer.totalRetriedAttempts,1782184451348000000,1782184511358000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782184451348000000,1782184511358000000,1064960
AWTEventQueue.eventsDispatched,1782184451348000000,1782184511358000000,2528
FlushQueue.executionTime90PNs,1782184451348000000,1782184511358000000,309247
NonBlockingReadAction.failedExecutionsCount,1782184451348000000,1782184511358000000,4
FlushQueue.queueSizeAvg,1782184451348000000,1782184511358000000,38.03724696356275
NonBlockingReadAction.failedExecutionTimeUs,1782184451348000000,1782184511358000000,118174
WriteAction.executionsCount,1782184451348000000,1782184511358000000,5
AWTEventQueue.dispatchTimeMaxNs,1782184451348000000,1782184511358000000,473956351
FlushQueue.executionTimeMaxNs,1782184451348000000,1782184511358000000,473956351
FlushQueue.executionTimeAvgNs,1782184451348000000,1782184511358000000,677584.3943319838
FlushQueue.queueSizeMax,1782184451348000000,1782184511358000000,230
FlushQueue.waitingTimeMaxNs,1782184451348000000,1782184511358000000,520093695
FlushQueue.queueSize90P,1782184451348000000,1782184511358000000,116
FlushQueue.tasksExecuted,1782184451348000000,1782184511358000000,2470
NonBlockingReadAction.finalizedExecutionTimeUs,1782184451348000000,1782184511358000000,138607
AWTEventQueue.dispatchTime90PNs,1782184451348000000,1782184511358000000,1679359
AWTEventQueue.dispatchTimeAvgNs,1782184451348000000,1782184511358000000,1227866.4715189873
FlushQueue.waitingTimeAvgNs,1782184451348000000,1782184511358000000,3.2302382372469634E7
ReadAction.executionsCount,1782184451348000000,1782184511358000000,3681
AWTEventQueue.dispatchTimeTotalNS,1782184451348000000,1782184511358000000,3104733037
FlushQueue.waitingTime90PNs,1782184451348000000,1782184511358000000,93847551
NonBlockingReadAction.finalizedExecutionsCount,1782184451348000000,1782184511358000000,81
Indexes.stubs.lookupDurationAvgMs,1782184451348000000,1782184511358000000,0.13793103448275862
Indexing.writer_3.totalTimeSpentWritingMs,1782184451348000000,1782184511358000000,0
Indexes.allKeys.lookups,1782184451348000000,1782184511358000000,1
Indexes.stubs.lookupDurationMaxMs,1782184451348000000,1782184511358000000,3.0
Indexing.cache.totalCacheMisses,1782184451348000000,1782184511358000000,39
Indexing.cache.totalCacheAccesses,1782184451348000000,1782184511358000000,69
Indexing.cache.totalCacheEvicted,1782184451348000000,1782184511358000000,21
Indexing.writer_2.totalTimeSpentWritingMs,1782184451348000000,1782184511358000000,0
Indexes.entries.lookupDuration90PMs,1782184451348000000,1782184511358000000,2.0
Indexing.totalTimeIndexersSleptMs,1782184451348000000,1782184511358000000,0
Indexing.writesQueuedMin,1782184451348000000,1782184511358000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1782184451348000000,1782184511358000000,0
Indexes.entries.lookupDurationAvgMs,1782184451348000000,1782184511358000000,2.0
Indexes.entries.lookupDurationMaxMs,1782184451348000000,1782184511358000000,2.0
Indexes.allKeys.lookupDurationAvgMs,1782184451348000000,1782184511358000000,0.0
Indexing.writesQueuedAvg,1782184451348000000,1782184511358000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1782184451348000000,1782184511358000000,0
Indexes.stubs.lookupDuration90PMs,1782184451348000000,1782184511358000000,0.0
Indexing.writesQueuedMax,1782184451348000000,1782184511358000000,0
Indexes.stubs.lookups,1782184451348000000,1782184511358000000,29
Indexes.allKeys.lookupDurationMaxMs,1782184451348000000,1782184511358000000,0.0
Indexes.entries.lookups,1782184451348000000,1782184511358000000,5
Indexes.allKeys.lookupDuration90PMs,1782184451348000000,1782184511358000000,0.0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1782184451348000000,1782184511358000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1782184451348000000,1782184511358000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1782184451348000000,1782184511358000000,3
