# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1782180286528000000,1782180346628000000,2
cacheStateStorage.get.counter,1782180286528000000,1782180346628000000,2
cacheStateStorage.get.duration,1782180286528000000,1782180346628000000,0
cacheStateStorage.set.duration,1782180286528000000,1782180346628000000,8
VFS.contentStorage.recordsDeduplicated,1782180286528000000,1782180346628000000,0
VFS.invertedFileNameIndex.requests,1782180286528000000,1782180346628000000,0
VFS.fileByIdCache.misses,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsStoredSize,1782180286528000000,1782180346628000000,0
FileNameCache.queries,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsStored,1782180286528000000,1782180346628000000,0
FileNameCache.totalMisses,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsUncompressedSize,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsStoredCompressed,1782180286528000000,1782180346628000000,0
VFS.cache.filesCreated,1782180286528000000,1782180346628000000,9
VFS.contentStorage.recordsReadDecompressed,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsReadSize,1782180286528000000,1782180346628000000,0
VFS.contentStorage.recordsRead,1782180286528000000,1782180346628000000,0
VFS.rootsCount,1782180286528000000,1782180346628000000,1.0
VFS.fileByIdCache.hits,1782180286528000000,1782180346628000000,0
VFS.folderCaseSensitivityReads,1782180286528000000,1782180346628000000,8
VFS.cache.directoriesCreated,1782180286528000000,1782180346628000000,11
VFS.cache.segmentsCreated,1782180286528000000,1782180346628000000,1
VFS.cache.segments,1782180286528000000,1782180346628000000,1.0
VFS.fileChildByName,1782180286528000000,1782180346628000000,24
writeAction.count,1782180286528000000,1782180346628000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1782180286528000000,1782180346628000000,55292
writeAction.wait.ms,1782180286528000000,1782180346628000000,1
DiskQueryRelay.tasksExecuted,1782180286528000000,1782180346628000000,41
writeAction.max.wait.ms,1782180286528000000,1782180346628000000,1
DiskQueryRelay.tasksRequested,1782180286528000000,1782180346628000000,41
DiskQueryRelay.taskExecutionTotalTimeUs,1782180286528000000,1782180346628000000,13117
writeAction.median.wait.ms,1782180286528000000,1782180346628000000,0
FilePageCache.totalPageLoadsUs,1782180286528000000,1782180346628000000,172505
StreamlinedBlobStorage.recordsDeleted,1782180286528000000,1782180346628000000,0
FilePageCache.pageFastCacheHits,1782180286528000000,1782180346628000000,21947
FilePageCache.pageHits,1782180286528000000,1782180346628000000,0
DirectByteBufferAllocator.misses,1782180286528000000,1782180346628000000,314
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1782180286528000000,1782180346628000000,840
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782180286528000000,1782180346628000000,41959424
FilePageCache.totalPageDisposalsUs,1782180286528000000,1782180346628000000,547
FilePageCache.pageLoadsAboveSizeThreshold,1782180286528000000,1782180346628000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1782180286528000000,1782180346628000000,87
StreamlinedBlobStorage.recordsRelocated,1782180286528000000,1782180346628000000,0
DirectByteBufferAllocator.disposed,1782180286528000000,1782180346628000000,314
FilePageCache.disposedBuffers,1782180286528000000,1782180346628000000,319
FilePageCache.uncachedFileAccess,1782180286528000000,1782180346628000000,564
MappedFileStorage.totalBytesMapped,1782180286528000000,1782180346628000000,164626432
StorageLockContext.competingThreads.90P,1782180286528000000,1782180346628000000,0
StreamlinedBlobStorage.recordsAllocated,1782180286528000000,1782180346628000000,12
FilePageCache.maxCacheSizeInBytes,1782180286528000000,1782180346628000000,327172096
MappedFileStorage.totalTimeSpentOnMappingUs,1782180286528000000,1782180346628000000,245257
MappedFileStorage.totalPagesMapped,1782180286528000000,1782180346628000000,6
FilePageCache.maxRegisteredFiles,1782180286528000000,1782180346628000000,877
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782180286528000000,1782180346628000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1782180286528000000,1782180346628000000,0
DirectByteBufferAllocator.hits,1782180286528000000,1782180346628000000,5
StorageLockContext.competingThreads.max,1782180286528000000,1782180346628000000,0
DirectByteBufferAllocator.reclaimed,1782180286528000000,1782180346628000000,47
MappedFileStorage.storages,1782180286528000000,1782180346628000000,6
FilePageCache.pageLoads,1782180286528000000,1782180346628000000,319
FilePageCache.capacityInBytes,1782180286528000000,1782180346628000000,629145600
StorageLockContext.competingThreads.avg,1782180286528000000,1782180346628000000,0.0
AWTEventQueue.dispatchTime90PNs,1782180286528000000,1782180346628000000,0
FlushQueue.queueSize90P,1782180286528000000,1782180346628000000,0
FlushQueue.waitingTimeMaxNs,1782180286528000000,1782180346628000000,0
FlushQueue.waitingTimeAvgNs,1782180286528000000,1782180346628000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1782180286528000000,1782180346628000000,1028945052
WriteAction.executionsCount,1782180286528000000,1782180346628000000,1
AWTEventQueue.dispatchTimeMaxNs,1782180286528000000,1782180346628000000,0
AWTEventQueue.eventsDispatched,1782180286528000000,1782180346628000000,0
FlushQueue.queueSizeAvg,1782180286528000000,1782180346628000000,0.0
FlushQueue.executionTime90PNs,1782180286528000000,1782180346628000000,0
FlushQueue.tasksExecuted,1782180286528000000,1782180346628000000,0
